"","word","sentiment"
"163","breaching","negative"
"164","break","negative"
"165","breakage","negative"
"166","breakages","negative"
"167","breakdown","negative"
"168","breakdowns","negative"
"169","breaking","negative"
"170","breaks","negative"
"171","bribe","negative"
"172","bribed","negative"
"173","briberies","negative"
"174","bribery","negative"
"175","bribes","negative"
"176","bribing","negative"
"177","bridge","negative"
"178","broken","negative"
"179","burden","negative"
"180","burdened","negative"
"181","burdening","negative"
"182","burdens","negative"
"183","burdensome","negative"
"184","burned","negative"
"185","calamities","negative"
"186","calamitous","negative"
"187","calamity","negative"
"188","cancel","negative"
"189","canceled","negative"
"190","canceling","negative"
"191","cancellation","negative"
"192","cancellations","negative"
"193","cancelled","negative"
"194","cancelling","negative"
"195","cancels","negative"
"196","careless","negative"
"197","carelessly","negative"
"198","carelessness","negative"
"199","catastrophe","negative"
"200","catastrophes","negative"
"201","catastrophic","negative"
"202","catastrophically","negative"
"203","caution","negative"
"204","cautionary","negative"
"205","cautioned","negative"
"206","cautioning","negative"
"207","cautions","negative"
"208","cease","negative"
"209","ceased","negative"
"210","ceases","negative"
"211","ceasing","negative"
"212","censure","negative"
"213","censured","negative"
"214","censures","negative"
"215","censuring","negative"
"216","challenge","negative"
"217","challenged","negative"
"218","challenges","negative"
"219","challenging","negative"
"220","chargeoffs","negative"
"221","circumvent","negative"
"222","circumvented","negative"
"223","circumventing","negative"
"224","circumvention","negative"
"225","circumventions","negative"
"226","circumvents","negative"
"227","claiming","negative"
"228","claims","negative"
"229","clawback","negative"
"230","closed","negative"
"231","closeout","negative"
"232","closeouts","negative"
"233","closing","negative"
"234","closings","negative"
"235","closure","negative"
"236","closures","negative"
"237","coerce","negative"
"238","coerced","negative"
"239","coerces","negative"
"240","coercing","negative"
"241","coercion","negative"
"242","coercive","negative"
"243","collapse","negative"
"244","collapsed","negative"
"245","collapses","negative"
"246","collapsing","negative"
"247","collision","negative"
"248","collisions","negative"
"249","collude","negative"
"250","colluded","negative"
"251","colludes","negative"
"252","colluding","negative"
"253","collusion","negative"
"254","collusions","negative"
"255","collusive","negative"
"256","complain","negative"
"257","complained","negative"
"258","complaining","negative"
"259","complains","negative"
"260","complaint","negative"
"261","complaints","negative"
"262","complicate","negative"
"263","complicated","negative"
"264","complicates","negative"
"265","complicating","negative"
"266","complication","negative"
"267","complications","negative"
"268","compulsion","negative"
"269","concealed","negative"
"270","concealing","negative"
"271","concede","negative"
"272","conceded","negative"
"273","concedes","negative"
"274","conceding","negative"
"275","concern","negative"
"276","concerned","negative"
"277","concerns","negative"
"278","conciliating","negative"
"279","conciliation","negative"
"280","conciliations","negative"
"281","condemn","negative"
"282","condemnation","negative"
"283","condemnations","negative"
"284","condemned","negative"
"285","condemning","negative"
"286","condemns","negative"
"287","condone","negative"
"288","condoned","negative"
"289","confess","negative"
"290","confessed","negative"
"291","confesses","negative"
"292","confessing","negative"
"293","confession","negative"
"294","confine","negative"
"295","confined","negative"
"296","confinement","negative"
"297","confinements","negative"
"298","confines","negative"
"299","confining","negative"
"300","confiscate","negative"
"301","confiscated","negative"
"302","confiscates","negative"
"303","confiscating","negative"
"304","confiscation","negative"
"305","confiscations","negative"
"306","conflict","negative"
"307","conflicted","negative"
"308","conflicting","negative"
"309","conflicts","negative"
"310","confront","negative"
"311","confrontation","negative"
"312","confrontational","negative"
"313","confrontations","negative"
"314","confronted","negative"
"315","confronting","negative"
"316","confronts","negative"
"317","confuse","negative"
"318","confused","negative"
"319","confuses","negative"
"320","confusing","negative"
"321","confusingly","negative"
"322","confusion","negative"
"323","conspiracies","negative"
"324","conspiracy","negative"
"325","conspirator","negative"
"326","conspiratorial","negative"
"327","conspirators","negative"
"328","conspire","negative"
"329","conspired","negative"
"330","conspires","negative"
"331","conspiring","negative"
"332","contempt","negative"
"333","contend","negative"
"334","contended","negative"
"335","contending","negative"
"336","contends","negative"
"337","contention","negative"
"338","contentions","negative"
"339","contentious","negative"
"340","contentiously","negative"
"341","contested","negative"
"342","contesting","negative"
"343","contraction","negative"
"344","contractions","negative"
"345","contradict","negative"
"346","contradicted","negative"
"347","contradicting","negative"
"348","contradiction","negative"
"349","contradictions","negative"
"350","contradictory","negative"
"351","contradicts","negative"
"352","contrary","negative"
"353","controversial","negative"
"354","controversies","negative"
"355","controversy","negative"
"356","convict","negative"
"357","convicted","negative"
"358","convicting","negative"
"359","conviction","negative"
"360","convictions","negative"
"361","corrected","negative"
"362","correcting","negative"
"363","correction","negative"
"364","corrections","negative"
"365","corrects","negative"
"366","corrupt","negative"
"367","corrupted","negative"
"368","corrupting","negative"
"369","corruption","negative"
"370","corruptions","negative"
"371","corruptly","negative"
"372","corruptness","negative"
"373","costly","negative"
"374","counterclaim","negative"
"375","counterclaimed","negative"
"376","counterclaiming","negative"
"377","counterclaims","negative"
"378","counterfeit","negative"
"379","counterfeited","negative"
"380","counterfeiter","negative"
"381","counterfeiters","negative"
"382","counterfeiting","negative"
"383","counterfeits","negative"
"384","countermeasure","negative"
"385","countermeasures","negative"
"386","crime","negative"
"387","crimes","negative"
"388","criminal","negative"
"389","criminally","negative"
"390","criminals","negative"
"391","crises","negative"
"392","crisis","negative"
"393","critical","negative"
"394","critically","negative"
"395","criticism","negative"
"396","criticisms","negative"
"397","criticize","negative"
"398","criticized","negative"
"399","criticizes","negative"
"400","criticizing","negative"
"401","crucial","negative"
"402","crucially","negative"
"403","culpability","negative"
"404","culpable","negative"
"405","culpably","negative"
"406","cumbersome","negative"
"407","curtail","negative"
"408","curtailed","negative"
"409","curtailing","negative"
"410","curtailment","negative"
"411","curtailments","negative"
"412","curtails","negative"
"413","cut","negative"
"414","cutback","negative"
"415","cutbacks","negative"
"416","cyberattack","negative"
"417","cyberattacks","negative"
"418","cyberbullying","negative"
"419","cybercrime","negative"
"420","cybercrimes","negative"
"421","cybercriminal","negative"
"422","cybercriminals","negative"
"423","damage","negative"
"424","damaged","negative"
"425","damages","negative"
"426","damaging","negative"
"427","dampen","negative"
"428","dampened","negative"
"429","danger","negative"
"430","dangerous","negative"
"431","dangerously","negative"
"432","dangers","negative"
"433","deadlock","negative"
"434","deadlocked","negative"
"435","deadlocking","negative"
"436","deadlocks","negative"
"437","deadweight","negative"
"438","deadweights","negative"
"439","debarment","negative"
"440","debarments","negative"
"441","debarred","negative"
"442","deceased","negative"
"443","deceit","negative"
"444","deceitful","negative"
"445","deceitfulness","negative"
"446","deceive","negative"
"447","deceived","negative"
"448","deceives","negative"
"449","deceiving","negative"
"450","deception","negative"
"451","deceptions","negative"
"452","deceptive","negative"
"453","deceptively","negative"
"454","decline","negative"
"455","declined","negative"
"456","declines","negative"
"457","declining","negative"
"458","deface","negative"
"459","defaced","negative"
"460","defacement","negative"
"461","defamation","negative"
"462","defamations","negative"
"463","defamatory","negative"
"464","defame","negative"
"465","defamed","negative"
"466","defames","negative"
"467","defaming","negative"
"468","default","negative"
"469","defaulted","negative"
"470","defaulting","negative"
"471","defaults","negative"
"472","defeat","negative"
"473","defeated","negative"
"474","defeating","negative"
"475","defeats","negative"
"476","defect","negative"
"477","defective","negative"
"478","defects","negative"
"479","defend","negative"
"480","defendant","negative"
"481","defendants","negative"
"482","defended","negative"
"483","defending","negative"
"484","defends","negative"
"485","defensive","negative"
"486","defer","negative"
"487","deficiencies","negative"
"488","deficiency","negative"
"489","deficient","negative"
"490","deficit","negative"
"491","deficits","negative"
"492","defraud","negative"
"493","defrauded","negative"
"494","defrauding","negative"
"495","defrauds","negative"
"496","defunct","negative"
"497","degradation","negative"
"498","degradations","negative"
"499","degrade","negative"
"500","degraded","negative"
"501","degrades","negative"
"502","degrading","negative"
"503","delay","negative"
"504","delayed","negative"
"505","delaying","negative"
"506","delays","negative"
"507","deleterious","negative"
"508","deliberate","negative"
"509","deliberated","negative"
"510","deliberately","negative"
"511","delinquencies","negative"
"512","delinquency","negative"
"513","delinquent","negative"
"514","delinquently","negative"
"515","delinquents","negative"
"516","delist","negative"
"517","delisted","negative"
"518","delisting","negative"
"519","delists","negative"
"520","demise","negative"
"521","demised","negative"
"522","demises","negative"
"523","demising","negative"
"524","demolish","negative"
"525","demolished","negative"
"526","demolishes","negative"
"527","demolishing","negative"
"528","demolition","negative"
"529","demolitions","negative"
"530","demote","negative"
"531","demoted","negative"
"532","demotes","negative"
"533","demoting","negative"
"534","demotion","negative"
"535","demotions","negative"
"536","denial","negative"
"537","denials","negative"
"538","denied","negative"
"539","denies","negative"
"540","denigrate","negative"
"541","denigrated","negative"
"542","denigrates","negative"
"543","denigrating","negative"
"544","denigration","negative"
"545","deny","negative"
"546","denying","negative"
"547","deplete","negative"
"548","depleted","negative"
"549","depletes","negative"
"550","depleting","negative"
"551","depletion","negative"
"552","depletions","negative"
"553","deprecation","negative"
"554","depress","negative"
"555","depressed","negative"
"556","depresses","negative"
"557","depressing","negative"
"558","deprivation","negative"
"559","deprive","negative"
"560","deprived","negative"
"561","deprives","negative"
"562","depriving","negative"
"563","derelict","negative"
"564","dereliction","negative"
"565","derogatory","negative"
"566","destabilization","negative"
"567","destabilize","negative"
"568","destabilized","negative"
"569","destabilizing","negative"
"570","destroy","negative"
"571","destroyed","negative"
"572","destroying","negative"
"573","destroys","negative"
"574","destruction","negative"
"575","destructive","negative"
"576","detain","negative"
"577","detained","negative"
"578","detention","negative"
"579","detentions","negative"
"580","deter","negative"
"581","deteriorate","negative"
"582","deteriorated","negative"
"583","deteriorates","negative"
"584","deteriorating","negative"
"585","deterioration","negative"
"586","deteriorations","negative"
"587","deterred","negative"
"588","deterrence","negative"
"589","deterrences","negative"
"590","deterrent","negative"
"591","deterrents","negative"
"592","deterring","negative"
"593","deters","negative"
"594","detract","negative"
"595","detracted","negative"
"596","detracting","negative"
"597","detriment","negative"
"598","detrimental","negative"
"599","detrimentally","negative"
"600","detriments","negative"
"601","devalue","negative"
"602","devalued","negative"
"603","devalues","negative"
"604","devaluing","negative"
"605","devastate","negative"
"606","devastated","negative"
"607","devastating","negative"
"608","devastation","negative"
"609","deviate","negative"
"610","deviated","negative"
"611","deviates","negative"
"612","deviating","negative"
"613","deviation","negative"
"614","deviations","negative"
"615","devolve","negative"
"616","devolved","negative"
"617","devolves","negative"
"618","devolving","negative"
"619","difficult","negative"
"620","difficulties","negative"
"621","difficultly","negative"
"622","difficulty","negative"
"623","diminish","negative"
"624","diminished","negative"
"625","diminishes","negative"
"626","diminishing","negative"
"627","diminution","negative"
"628","disadvantage","negative"
"629","disadvantaged","negative"
"630","disadvantageous","negative"
"631","disadvantages","negative"
"632","disaffiliation","negative"
"633","disagree","negative"
"634","disagreeable","negative"
"635","disagreed","negative"
"636","disagreeing","negative"
"637","disagreement","negative"
"638","disagreements","negative"
"639","disagrees","negative"
"640","disallow","negative"
"641","disallowance","negative"
"642","disallowances","negative"
"643","disallowed","negative"
"644","disallowing","negative"
"645","disallows","negative"
"646","disappear","negative"
"647","disappearance","negative"
"648","disappearances","negative"
"649","disappeared","negative"
"650","disappearing","negative"
"651","disappears","negative"
"652","disappoint","negative"
"653","disappointed","negative"
"654","disappointing","negative"
"655","disappointingly","negative"
"656","disappointment","negative"
"657","disappointments","negative"
"658","disappoints","negative"
"659","disapproval","negative"
"660","disapprovals","negative"
"661","disapprove","negative"
"662","disapproved","negative"
"663","disapproves","negative"
"664","disapproving","negative"
"665","disassociates","negative"
"666","disassociating","negative"
"667","disassociation","negative"
"668","disassociations","negative"
"669","disaster","negative"
"670","disasters","negative"
"671","disastrous","negative"
"672","disastrously","negative"
"673","disavow","negative"
"674","disavowal","negative"
"675","disavowed","negative"
"676","disavowing","negative"
"677","disavows","negative"
"678","disciplinary","negative"
"679","disclaim","negative"
"680","disclaimed","negative"
"681","disclaimer","negative"
"682","disclaimers","negative"
"683","disclaiming","negative"
"684","disclaims","negative"
"685","disclose","negative"
"686","disclosed","negative"
"687","discloses","negative"
"688","disclosing","negative"
"689","discontinuance","negative"
"690","discontinuances","negative"
"691","discontinuation","negative"
"692","discontinuations","negative"
"693","discontinue","negative"
"694","discontinued","negative"
"695","discontinues","negative"
"696","discontinuing","negative"
"697","discourage","negative"
"698","discouraged","negative"
"699","discourages","negative"
"700","discouraging","negative"
"701","discredit","negative"
"702","discredited","negative"
"703","discrediting","negative"
"704","discredits","negative"
"705","discrepancies","negative"
"706","discrepancy","negative"
"707","disfavor","negative"
"708","disfavored","negative"
"709","disfavoring","negative"
"710","disfavors","negative"
"711","disgorge","negative"
"712","disgorged","negative"
"713","disgorgement","negative"
"714","disgorgements","negative"
"715","disgorges","negative"
"716","disgorging","negative"
"717","disgrace","negative"
"718","disgraceful","negative"
"719","disgracefully","negative"
"720","dishonest","negative"
"721","dishonestly","negative"
"722","dishonesty","negative"
"723","dishonor","negative"
"724","dishonorable","negative"
"725","dishonorably","negative"
"726","dishonored","negative"
"727","dishonoring","negative"
"728","dishonors","negative"
"729","disincentives","negative"
"730","disinterested","negative"
"731","disinterestedly","negative"
"732","disinterestedness","negative"
"733","disloyal","negative"
"734","disloyally","negative"
"735","disloyalty","negative"
"736","dismal","negative"
"737","dismally","negative"
"738","dismiss","negative"
"739","dismissal","negative"
"740","dismissals","negative"
"741","dismissed","negative"
"742","dismisses","negative"
"743","dismissing","negative"
"744","disorderly","negative"
"745","disparage","negative"
"746","disparaged","negative"
"747","disparagement","negative"
"748","disparagements","negative"
"749","disparages","negative"
"750","disparaging","negative"
"751","disparagingly","negative"
"752","disparities","negative"
"753","disparity","negative"
"754","displace","negative"
"755","displaced","negative"
"756","displacement","negative"
"757","displacements","negative"
"758","displaces","negative"
"759","displacing","negative"
"760","dispose","negative"
"761","dispossess","negative"
"762","dispossessed","negative"
"763","dispossesses","negative"
"764","dispossessing","negative"
"765","disproportion","negative"
"766","disproportional","negative"
"767","disproportionate","negative"
"768","disproportionately","negative"
"769","dispute","negative"
"770","disputed","negative"
"771","disputes","negative"
"772","disputing","negative"
"773","disqualification","negative"
"774","disqualifications","negative"
"775","disqualified","negative"
"776","disqualifies","negative"
"777","disqualify","negative"
"778","disqualifying","negative"
"779","disregard","negative"
"780","disregarded","negative"
"781","disregarding","negative"
"782","disregards","negative"
"783","disreputable","negative"
"784","disrepute","negative"
"785","disrupt","negative"
"786","disrupted","negative"
"787","disrupting","negative"
"788","disruption","negative"
"789","disruptions","negative"
"790","disruptive","negative"
"791","disrupts","negative"
"792","dissatisfaction","negative"
"793","dissatisfied","negative"
"794","dissent","negative"
"795","dissented","negative"
"796","dissenter","negative"
"797","dissenters","negative"
"798","dissenting","negative"
"799","dissents","negative"
"800","dissident","negative"
"801","dissidents","negative"
"802","dissolution","negative"
"803","dissolutions","negative"
"804","distort","negative"
"805","distorted","negative"
"806","distorting","negative"
"807","distortion","negative"
"808","distortions","negative"
"809","distorts","negative"
"810","distract","negative"
"811","distracted","negative"
"812","distracting","negative"
"813","distraction","negative"
"814","distractions","negative"
"815","distracts","negative"
"816","distress","negative"
"817","distressed","negative"
"818","disturb","negative"
"819","disturbance","negative"
"820","disturbances","negative"
"821","disturbed","negative"
"822","disturbing","negative"
"823","disturbs","negative"
"824","diversion","negative"
"825","divert","negative"
"826","diverted","negative"
"827","diverting","negative"
"828","diverts","negative"
"829","divest","negative"
"830","divested","negative"
"831","divesting","negative"
"832","divestiture","negative"
"833","divestitures","negative"
"834","divestment","negative"
"835","divestments","negative"
"836","divests","negative"
"837","divorce","negative"
"838","divorced","negative"
"839","divulge","negative"
"840","divulged","negative"
"841","divulges","negative"
"842","divulging","negative"
"843","doubt","negative"
"844","doubted","negative"
"845","doubtful","negative"
"846","doubts","negative"
"847","downgrade","negative"
"848","downgraded","negative"
"849","downgrades","negative"
"850","downgrading","negative"
"851","downsize","negative"
"852","downsized","negative"
"853","downsizes","negative"
"854","downsizing","negative"
"855","downsizings","negative"
"856","downtime","negative"
"857","downtimes","negative"
"858","downturn","negative"
"859","downturns","negative"
"860","downward","negative"
"861","downwards","negative"
"862","drag","negative"
"863","drastic","negative"
"864","drastically","negative"
"865","drawback","negative"
"866","drawbacks","negative"
"867","dropped","negative"
"868","drought","negative"
"869","droughts","negative"
"870","duress","negative"
"871","dysfunction","negative"
"872","dysfunctional","negative"
"873","dysfunctions","negative"
"874","easing","negative"
"875","egregious","negative"
"876","egregiously","negative"
"877","embargo","negative"
"878","embargoed","negative"
"879","embargoes","negative"
"880","embargoing","negative"
"881","embarrass","negative"
"882","embarrassed","negative"
"883","embarrasses","negative"
"884","embarrassing","negative"
"885","embarrassment","negative"
"886","embarrassments","negative"
"887","embezzle","negative"
"888","embezzled","negative"
"889","embezzlement","negative"
"890","embezzlements","negative"
"891","embezzler","negative"
"892","embezzles","negative"
"893","embezzling","negative"
"894","encroach","negative"
"895","encroached","negative"
"896","encroaches","negative"
"897","encroaching","negative"
"898","encroachment","negative"
"899","encroachments","negative"
"900","encumber","negative"
"901","encumbered","negative"
"902","encumbering","negative"
"903","encumbers","negative"
"904","encumbrance","negative"
"905","encumbrances","negative"
"906","endanger","negative"
"907","endangered","negative"
"908","endangering","negative"
"909","endangerment","negative"
"910","endangers","negative"
"911","enjoin","negative"
"912","enjoined","negative"
"913","enjoining","negative"
"914","enjoins","negative"
"915","erode","negative"
"916","eroded","negative"
"917","erodes","negative"
"918","eroding","negative"
"919","erosion","negative"
"920","erratic","negative"
"921","erratically","negative"
"922","erred","negative"
"923","erring","negative"
"924","erroneous","negative"
"925","erroneously","negative"
"926","error","negative"
"927","errors","negative"
"928","errs","negative"
"929","escalate","negative"
"930","escalated","negative"
"931","escalates","negative"
"932","escalating","negative"
"933","evade","negative"
"934","evaded","negative"
"935","evades","negative"
"936","evading","negative"
"937","evasion","negative"
"938","evasions","negative"
"939","evasive","negative"
"940","evict","negative"
"941","evicted","negative"
"942","evicting","negative"
"943","eviction","negative"
"944","evictions","negative"
"945","evicts","negative"
"946","exacerbate","negative"
"947","exacerbated","negative"
"948","exacerbates","negative"
"949","exacerbating","negative"
"950","exacerbation","negative"
"951","exacerbations","negative"
"952","exaggerate","negative"
"953","exaggerated","negative"
"954","exaggerates","negative"
"955","exaggerating","negative"
"956","exaggeration","negative"
"957","excessive","negative"
"958","excessively","negative"
"959","exculpate","negative"
"960","exculpated","negative"
"961","exculpates","negative"
"962","exculpating","negative"
"963","exculpation","negative"
"964","exculpations","negative"
"965","exculpatory","negative"
"966","exonerate","negative"
"967","exonerated","negative"
"968","exonerates","negative"
"969","exonerating","negative"
"970","exoneration","negative"
"971","exonerations","negative"
"972","exploit","negative"
"973","exploitation","negative"
"974","exploitations","negative"
"975","exploitative","negative"
"976","exploited","negative"
"977","exploiting","negative"
"978","exploits","negative"
"979","expose","negative"
"980","exposed","negative"
"981","exposes","negative"
"982","exposing","negative"
"983","expropriate","negative"
"984","expropriated","negative"
"985","expropriates","negative"
"986","expropriating","negative"
"987","expropriation","negative"
"988","expropriations","negative"
"989","expulsion","negative"
"990","expulsions","negative"
"991","extenuating","negative"
"992","fail","negative"
"993","failed","negative"
"994","failing","negative"
"995","failings","negative"
"996","fails","negative"
"997","failure","negative"
"998","failures","negative"
"999","fallout","negative"
"1000","false","negative"
"1001","falsely","negative"
"1002","falsification","negative"
"1003","falsifications","negative"
"1004","falsified","negative"
"1005","falsifies","negative"
"1006","falsify","negative"
"1007","falsifying","negative"
"1008","falsity","negative"
"1009","fatalities","negative"
"1010","fatality","negative"
"1011","fatally","negative"
"1012","fault","negative"
"1013","faulted","negative"
"1014","faults","negative"
"1015","faulty","negative"
"1016","fear","negative"
"1017","fears","negative"
"1018","felonies","negative"
"1019","felonious","negative"
"1020","felony","negative"
"1021","fictitious","negative"
"1022","fined","negative"
"1023","fines","negative"
"1024","fired","negative"
"1025","firing","negative"
"1026","flaw","negative"
"1027","flawed","negative"
"1028","flaws","negative"
"1029","forbid","negative"
"1030","forbidden","negative"
"1031","forbidding","negative"
"1032","forbids","negative"
"1033","force","negative"
"1034","forced","negative"
"1035","forcing","negative"
"1036","foreclose","negative"
"1037","foreclosed","negative"
"1038","forecloses","negative"
"1039","foreclosing","negative"
"1040","foreclosure","negative"
"1041","foreclosures","negative"
"1042","forego","negative"
"1043","foregoes","negative"
"1044","foregone","negative"
"1045","forestall","negative"
"1046","forestalled","negative"
"1047","forestalling","negative"
"1048","forestalls","negative"
"1049","forfeit","negative"
"1050","forfeited","negative"
"1051","forfeiting","negative"
"1052","forfeits","negative"
"1053","forfeiture","negative"
"1054","forfeitures","negative"
"1055","forgers","negative"
"1056","forgery","negative"
"1057","fraud","negative"
"1058","frauds","negative"
"1059","fraudulence","negative"
"1060","fraudulent","negative"
"1061","fraudulently","negative"
"1062","frivolous","negative"
"1063","frivolously","negative"
"1064","frustrate","negative"
"1065","frustrated","negative"
"1066","frustrates","negative"
"1067","frustrating","negative"
"1068","frustratingly","negative"
"1069","frustration","negative"
"1070","frustrations","negative"
"1071","fugitive","negative"
"1072","fugitives","negative"
"1073","gratuitous","negative"
"1074","gratuitously","negative"
"1075","grievance","negative"
"1076","grievances","negative"
"1077","grossly","negative"
"1078","groundless","negative"
"1079","guilty","negative"
"1080","halt","negative"
"1081","halted","negative"
"1082","hamper","negative"
"1083","hampered","negative"
"1084","hampering","negative"
"1085","hampers","negative"
"1086","harass","negative"
"1087","harassed","negative"
"1088","harassing","negative"
"1089","harassment","negative"
"1090","hardship","negative"
"1091","hardships","negative"
"1092","harm","negative"
"1093","harmed","negative"
"1094","harmful","negative"
"1095","harmfully","negative"
"1096","harming","negative"
"1097","harms","negative"
"1098","harsh","negative"
"1099","harsher","negative"
"1100","harshest","negative"
"1101","harshly","negative"
"1102","harshness","negative"
"1103","hazard","negative"
"1104","hazardous","negative"
"1105","hazards","negative"
"1106","hinder","negative"
"1107","hindered","negative"
"1108","hindering","negative"
"1109","hinders","negative"
"1110","hindrance","negative"
"1111","hindrances","negative"
"1112","hostile","negative"
"1113","hostility","negative"
"1114","hurt","negative"
"1115","hurting","negative"
"1116","idle","negative"
"1117","idled","negative"
"1118","idling","negative"
"1119","ignore","negative"
"1120","ignored","negative"
"1121","ignores","negative"
"1122","ignoring","negative"
"1123","ill","negative"
"1124","illegal","negative"
"1125","illegalities","negative"
"1126","illegality","negative"
"1127","illegally","negative"
"1128","illegible","negative"
"1129","illicit","negative"
"1130","illicitly","negative"
"1131","illiquid","negative"
"1132","illiquidity","negative"
"1133","imbalance","negative"
"1134","imbalances","negative"
"1135","immature","negative"
"1136","immoral","negative"
"1137","impair","negative"
"1138","impaired","negative"
"1139","impairing","negative"
"1140","impairment","negative"
"1141","impairments","negative"
"1142","impairs","negative"
"1143","impasse","negative"
"1144","impasses","negative"
"1145","impede","negative"
"1146","impeded","negative"
"1147","impedes","negative"
"1148","impediment","negative"
"1149","impediments","negative"
"1150","impeding","negative"
"1151","impending","negative"
"1152","imperative","negative"
"1153","imperfection","negative"
"1154","imperfections","negative"
"1155","imperil","negative"
"1156","impermissible","negative"
"1157","implicate","negative"
"1158","implicated","negative"
"1159","implicates","negative"
"1160","implicating","negative"
"1161","impossibility","negative"
"1162","impossible","negative"
"1163","impound","negative"
"1164","impounded","negative"
"1165","impounding","negative"
"1166","impounds","negative"
"1167","impracticable","negative"
"1168","impractical","negative"
"1169","impracticalities","negative"
"1170","impracticality","negative"
"1171","imprisonment","negative"
"1172","improper","negative"
"1173","improperly","negative"
"1174","improprieties","negative"
"1175","impropriety","negative"
"1176","imprudent","negative"
"1177","imprudently","negative"
"1178","inability","negative"
"1179","inaccessible","negative"
"1180","inaccuracies","negative"
"1181","inaccuracy","negative"
"1182","inaccurate","negative"
"1183","inaccurately","negative"
"1184","inaction","negative"
"1185","inactions","negative"
"1186","inactivate","negative"
"1187","inactivated","negative"
"1188","inactivates","negative"
"1189","inactivating","negative"
"1190","inactivation","negative"
"1191","inactivations","negative"
"1192","inactivity","negative"
"1193","inadequacies","negative"
"1194","inadequacy","negative"
"1195","inadequate","negative"
"1196","inadequately","negative"
"1197","inadvertent","negative"
"1198","inadvertently","negative"
"1199","inadvisability","negative"
"1200","inadvisable","negative"
"1201","inappropriate","negative"
